,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,プロジェクト期,国名,評価年度,評価会社,評価者,プロジェクトコスト_計画時,プロジェクトコスト_実績,プロジェクトコスト_被援助国負担額,プロジェクトコスト_計画時_int,プロジェクトコスト_実績_int,プロジェクトコスト_被援助国負担額_int,プロジェクト期間開始_計画時,プロジェクト期間終了_計画時,プロジェクト期間開始_実績,プロジェクト期間終了_実績,事前評価時_プロジェクト期間（月）,実績_プロジェクト期間（月）,妥当性評価,整合性評価,有効性評価,インパクト評価,効率性評価,効率性_コスト,効率性_期間,持続性評価,適応・貢献評価,付加価値・創造価値評価,総合評価,備考,file,事業形態,分野,案件名,left_4,連番
1745,1745,1745.0,1745.0,1,フィリピン,2011,株式会社アイコンズ,伊藤治夫,"20,462百万円","15,032百万円","5,030百万円",20462000000,15032000000,5030000000,1999年12月,2006年12月,1999年12月,2008年9月,85,106,高い,,中程度,中程度,中程度,73%,125%,高い,,,高い,,https://www2.jica.go.jp/ja/evaluation/pdf/2011_PH-P200_4_f.pdf,有償,教育,貧困地域中等教育拡充事業,貧困地域,1
1731,1731,1731.0,1731.0,1,フィリピン,2011,(株)グローバル・グループ21ジャパン,山本渉,"2,712百万円","2,820百万円",864百万円,2712000000,2820000000,864000000,2001年5月,2006年4月,2001年5月,2007年12月,60,79,高い,,中程度,中程度,高い,104%,119.6%,中程度,,,高い,,https://www2.jica.go.jp/ja/evaluation/pdf/2011_PH-P225_4_f.pdf,有償,環境問題,北部パラワン持続可能型環境保全事業,北部パラ,1
1734,1734,1734.0,1734.0,1,フィリピン,2011,アイ・シー・ネット株式会社,笹尾隆二郎,89億6400万円,104億5200万円,38億2800万円,8964000000,10452000000,3828000000,2002年3月,2007年4月,2002年3月,2010年11月,62,105,高い,,高い,高い,低い,116.6%,169.4%,中程度,,,一部課題がある,,https://www2.jica.go.jp/ja/evaluation/pdf/2011_PH-P227_4_f.pdf,有償,道路,幹線道路網整備事業（VI）,幹線道路,1
421,421,421.0,421.0,1,フィリピン,2012,アイ・シー・ネット株式会社,谷口美代子,720百万円,571百万円,約62百万円,720000000,571000000,62000000,2004年6月,2009年6月,2004年6月,2009年6月,60,60,中程度,,中程度,中程度,高い,79%,100%,中程度,,,一部課題がある,,https://www2.jica.go.jp/ja/evaluation/pdf/2012_0600873_4_f.pdf,技協,林業・森林保全,地域住民による森林管理プログラム（CBFMP）強化計画プロジェクト,地域住民,1
419,419,419.0,419.0,1,フィリピン,2012,フィリピン事務所,,455百万円,455百万円,,455000000,455000000,,2005年11月,2009年11月,2005年11月,2009年11月,48,48,高い,,高い,高い,高い,100%,100%,高い,,,非常に高い,,https://www2.jica.go.jp/ja/evaluation/pdf/2012_0600881_4_f.pdf,技協,農業一般,高生産性稲作技術の地域展開計画,高生産性,1
415,415,415.0,415.0,1,フィリピン,2012,アイ・シー・ネット株式会社,下山久光,約379百万円,約410百万円,,379000000,410000000,,2005年6月,2009年6月,2005年6月,2009年6月,49,49,高い,,高い,高い,中程度,108%,100%,高い,,,非常に高い,,https://www2.jica.go.jp/ja/evaluation/pdf/2012_0600891_4_f.pdf,技協,商業経営,地方食品包装技術改善プロジェクト,地方食品,1
416,416,416.0,416.0,1,フィリピン,2012,フィリピン事務所,,,372百万円,,,372000000,,2006年3月,2010年3月,2006年3月,2010年3月,48,48,高い,,高い,高い,中程度,109%,100%,中程度,,,高い,,https://www2.jica.go.jp/ja/evaluation/pdf/2012_0600894_4_f.pdf,技協,保健・医療,母子保健プロジェクト,母子保健,1
1758,1758,1758.0,1758.0,1,フィリピン,2012,三州技術コンサルタント株式会社,川畑安弘,"16,420百万円","12,860百万円",568百万円,16420000000,12860000000,568000000,1995年8月,2000年6月,1995年8月,2004年12月,59,113,中程度,,低い,低い,中程度,78%,192%,,,,低い,本報告書は「メトロセブ開発事業(III)(埋立)」と「メトロセブ開発事業(III)(海岸道路)」の2つの事業を対象としているが、評価は2事業を総合して行われている。持続性評価については、埋立て事業の効果が発現していないため、評価対象外とされている。,https://www2.jica.go.jp/ja/evaluation/pdf/2012_PH-P157_4_f.pdf,有償,道路,メトロセブ開発事業（III）（埋立）,メトロセ,4
1759,1759,1759.0,1759.0,2,フィリピン,2012,三州技術コンサルタント株式会社,川畑安弘,"24,521百万円","24,795百万円","6,418百万円",24521000000,24795000000,6418000000,1995年8月,2000年12月,1995年8月,2010年10月,65,183,中程度,,低い,低い,中程度,101%,282%,高い,,,低い,本報告書は「メトロセブ開発事業(III)(埋立)」と「メトロセブ開発事業(III)(海岸道路)」の2つの事業を対象としているが、評価は2事業を総合して行われている。,https://www2.jica.go.jp/ja/evaluation/pdf/2012_PH-P157_4_f.pdf,有償,道路,メトロセブ開発事業（III）（埋立）,メトロセ,3
1760,1760,1760.0,1760.0,1,フィリピン,2012,三州技術コンサルタント株式会社,川畑安弘,"16,420百万円","12,860百万円","計画: N/A, 実績: 568百万円",16420000000,12860000000,568000000,1995年8月,2000年6月,1995年8月,2004年12月,59,113,中程度,,低い,低い,中程度,78%,192%,,,,低い,事業名：メトロセブ開発事業（III）（埋立）。埋立て地の開発は一部未完。,https://www2.jica.go.jp/ja/evaluation/pdf/2012_PH-P158_4_f.pdf,有償,道路,メトロセブ開発事業（III）（海岸道路）,メトロセ,2
1761,1761,1761.0,1761.0,2,フィリピン,2012,三州技術コンサルタント株式会社,川畑安弘,"24,521百万円","24,795百万円","計画: 6,130百万円, 実績: 6,418百万円",24521000000,24795000000,6418000000,1995年8月,2000年12月,1995年8月,2010年10月,65,183,中程度,,低い,低い,中程度,101%,282%,高い,,,低い,事業名：メトロセブ開発事業（III）（海岸道路）,https://www2.jica.go.jp/ja/evaluation/pdf/2012_PH-P158_4_f.pdf,有償,道路,メトロセブ開発事業（III）（海岸道路）,メトロセ,1
1757,1757,1757.0,1757.0,1,フィリピン,2012,三州技術コンサルタント株式会社,川畑安弘,"6,593百万円","6,340百万円",,6593000000,6340000000,,1997年3月,2000年4月,1997年3月,2004年5月,38,87,高い,,中程度,,中程度,,228%,中程度,,,一部課題がある,本評価は「第2マクタン橋(II)」と「メトロセブ道路整備事業」を一体として扱っています。プロジェクト期間は、計画・実績ともに、期間が長い「セブ南海岸道路(タリサイ区間)」に合わせて記載しています。第2マクタン橋建設事業の計画期間は30ヶ月(1997年3月～1999年8月)、実績も同期間でした。,https://www2.jica.go.jp/ja/evaluation/pdf/2012_PH-P175_4_f.pdf,有償,道路,第2マクタン橋（II）及びメトロセブ道路整備事業,第2マク,1
1747,1747,1747.0,1747.0,1,フィリピン,2012,三菱 UFJリサーチ&コンサルティング株式会社,島村真澄,"6,734百万円","6,315百万円",,6734000000,6315000000,,1998年9月,2005年4月,1998年9月,2011年2月,80,150,高い,,高い,高い,中程度,78%,129%,中程度,,,高い,,https://www2.jica.go.jp/ja/evaluation/pdf/2012_PH-P193_4_f.pdf,有償,河川・砂防,アグノ川洪水制御事業（II）,アグノ川,4
1748,1748,1748.0,1748.0,2,フィリピン,2012,三菱 UFJリサーチ&コンサルティング株式会社,島村真澄,"2,789百万円","2,776百万円",,2789000000,2776000000,,2001年3月,2006年7月,2001年5月,2004年3月,64,35,高い,,高い,高い,中程度,78%,129%,中程度,,,高い,,https://www2.jica.go.jp/ja/evaluation/pdf/2012_PH-P193_4_f.pdf,有償,河川・砂防,アグノ川洪水制御事業（II）,アグノ川,3
1743,1743,1743.0,1743.0,1,フィリピン,2012,オクタヴィアジャパン株式会社,稲澤健一,"71億5,300万円","76億5,300万円","16億3,900万円",7153000000,7653000000,1639000000,1999年12月,2005年6月,1999年12月,2008年9月,67,106,['高い'],,['高い'],['高い'],['低い'],107%,158%,['高い'],,,高い,,https://www2.jica.go.jp/ja/evaluation/pdf/2012_PH-P202_4_f.pdf,有償,農業土木,ボホール灌漑事業（II）,ボホール,1
1736,1736,1736.0,1736.0,1,フィリピン,2012,三州技術コンサルタント株式会社,冨田まさみ,"26,190百万円","21,841百万円","1,301百万円",26190000000,21841000000,1301000000,2000年4月,2004年1月,2000年4月,2009年6月,46,111,高い,,中程度,中程度,中程度,83%,241%,中程度,,,一部課題がある,,https://www2.jica.go.jp/ja/evaluation/pdf/2012_PH-P211_4_f.pdf,有償,鉄道,LRT1号線増強事業（II）,LRT1,1
1741,1741,1741.0,1741.0,1,フィリピン,2012,三州技術コンサルタント株式会社,冨田まさみ,"4,175百万円","5,722百万円","2,039百万円",4175000000,5722000000,2039000000,2000年8月,2006年5月,2000年8月,2007年5月,70,82,高い,高い,高い,高い,中程度,137%,117%,中程度,,,高い,,https://www2.jica.go.jp/ja/evaluation/pdf/2012_PH-P216_4_f.pdf,有償,道路,第二マグサイサイ橋・バイパス道路建設事業,第二マグ,1
1739,1739,1739.0,1739.0,1,フィリピン,2012,アイ・シー・ネット株式会社,谷口美代子,"8,687百万円","6,872百万円","1,081百万円",8687000000,6872000000,1081000000,2001年3月30日,2007年6月30日,2001年3月30日,2009年9月25日,76,101,高い,,高い,高い,中程度,79%,133%,中程度,,,高い,,https://www2.jica.go.jp/ja/evaluation/pdf/2012_PH-P222_4_f.pdf,有償,農業一般,ミンダナオ持続的入植地開発事業,ミンダナ,1
1723,1723,1723.0,1723.0,1,フィリピン,2012,三菱 UFJリサーチ&コンサルティング株式会社,島村真澄,"6,734百万円","6,315百万円",,6734000000,6315000000,,1998年9月,2005年4月,1998年9月,2011年2月,80,150,高い,,高い,高い,中程度,78%,129%,中程度,,,高い,,https://www2.jica.go.jp/ja/evaluation/pdf/2012_PH-P223_4_f.pdf,有償,河川・砂防,アグノ川洪水制御事業（II-B）,アグノ川,2
1724,1724,1724.0,1724.0,2,フィリピン,2012,三菱 UFJリサーチ&コンサルティング株式会社,島村真澄,"2,789百万円","2,776百万円",,2789000000,2776000000,,2001年3月,2006年7月,2001年5月,2004年3月,64,35,高い,,高い,高い,中程度,78%,129%,中程度,,,高い,,https://www2.jica.go.jp/ja/evaluation/pdf/2012_PH-P223_4_f.pdf,有償,河川・砂防,アグノ川洪水制御事業（II-B）,アグノ川,1
1729,1729,1729.0,1729.0,1,フィリピン,2012,三菱 UFJリサーチ&コンサルティング株式会社,島村真澄,"8,412百万円","10,591百万円","4,296百万円",8412000000,10591000000,4296000000,2001年3月,2006年9月,2001年5月,2009年5月,67,97,高い,,高い,高い,中程度,126%,145%,中程度,,,高い,,https://www2.jica.go.jp/ja/evaluation/pdf/2012_PH-P224_4_f.pdf,有償,河川・砂防,ラオアグ川治水・砂防事業,ラオアグ,1
1730,1730,1730.0,1730.0,1,フィリピン,2012,三州技術コンサルタント株式会社,川畑安弘,"49,330百万円","71,734百万円","13,596百万円",49330000000,71734000000,13596000000,2001年9月,2006年12月,2001年9月,2008年7月,64,83,高い,,中程度,中程度,中程度,145%,130%,高い,,,高い,,https://www2.jica.go.jp/ja/evaluation/pdf/2012_PH-P226_4_f.pdf,有償,道路,中部ルソン高速道路建設事業,中部ルソ,1
1728,1728,1728.0,1728.0,1,フィリピン,2012,オクタヴィアジャパン株式会社,稲澤健一,"42億9,800万円",35億400万円,"5億1,400万円",4298000000,3504000000,514000000,2002年3月,2007年11月,2002年3月,2010年6月,69,100,高い,,高い,,中程度,82%,145%,高い,,,非常に高い,,https://www2.jica.go.jp/ja/evaluation/pdf/2012_PH-P229_4_f.pdf,有償,農業土木,バゴ川灌漑システム改修・維持管理強化事業,バゴ川灌,1
413,413,413.0,413.0,1,フィリピン,2013,フィリピン事務所,,379.59百万円,372百万円,,379591837,372000000,,2006年3月,2011年3月,2006年3月,2011年3月,60,60,高い,,高い,高い,高い,98%,100%,高い,,,非常に高い,,https://www2.jica.go.jp/ja/evaluation/pdf/2013_0600796_4_f.pdf,技協,保健・医療,ベンゲット州地域保健システム強化プロジェクト,ベンゲッ,1
422,422,422.0,422.0,1,フィリピン,2013,フィリピン事務所,,331百万円,440百万円,,331000000,440000000,,2004年6月,2009年6月,2004年6月,2009年6月,60,60,高い,,中程度,中程度,中程度,133%,100%,中程度,,,一部課題がある,,https://www2.jica.go.jp/ja/evaluation/pdf/2013_0600806_4_f.pdf,技協,電力,地方電化プロジェクト,地方電化,1
417,417,417.0,417.0,1,フィリピン,2013,有限会社アイエムジー,渡部美久,690百万円,758百万円,運営・経常費用、維持管理費,690000000,758000000,,2006年1月,2011年1月,2006年1月,2011年1月,60,60,高い,,中程度,中程度,中程度,110%,100%,高い,,,高い,,https://www2.jica.go.jp/ja/evaluation/pdf/2013_0600814_4_f.pdf,技協,環境問題,水質管理能力強化プロジェクト,水質管理,1
420,420,420.0,420.0,1,フィリピン,2013,オクタヴィアジャパン株式会社,杉山悠子,680百万円,582百万円,63百万円,680000000,582000000,63000000,2004年7月,2008年7月,2004年7月,2009年7月,48,60,高い,,中程度,中程度,中程度,86%,125%,中程度,,,一部課題がある,,https://www2.jica.go.jp/ja/evaluation/pdf/2013_0600872_4_f.pdf,技協,電気通信,IT人材育成プロジェクト,IT人材,1
418,418,418.0,418.0,1,フィリピン,2013,オクタヴィアジャパン株式会社,古賀美夕紀,370百万円,390百万円,219百万円,370000000,390000000,219000000,2005年7月,2010年6月,2005年7月,2010年6月,60,60,高い,,高い,高い,中程度,105%,100%,中程度,,,高い,,https://www2.jica.go.jp/ja/evaluation/pdf/2013_0600933_4_f.pdf,技協,河川・砂防,治水行政機能強化プロジェクト,治水行政,1
412,412,412.0,412.0,1,フィリピン,2013,フィリピン事務所,,250百万円,295百万円,25.5百万ペソ,250000000,295000000,,2006年11月,2010年4月,2006年11月,2010年4月,42,42,高い,,中程度,中程度,中低度,118%,100%,中程度,,,一部課題がある,,https://www2.jica.go.jp/ja/evaluation/pdf/2013_0600936_4_f.pdf,技協,水産,養殖普及プロジェクト,養殖普及,1
409,409,409.0,409.0,1,フィリピン,2013,一般財団法人 国際開発機構,朝戸恵子,380.0百万円,364.8百万円,,380000000,364800000,,2007年10月,2010年10月,2007年10月,2010年10月,36,36,高い,,中程度,中程度,高い,96%,100%,中程度,,,高い,,https://www2.jica.go.jp/ja/evaluation/pdf/2013_0600955_4_f.pdf,技協,環境問題,地方都市における適正固形廃棄物管理プロジェクト,地方都市,1
407,407,407.0,407.0,1,フィリピン,2013,有限会社アイエムジー,津曲真樹,197百万円,280百万円,3.5百万フィリピンペソ,197000000,280000000,3500000,2007年8月,2010年7月,2007年8月,2010年7月,36,36,高い,,高い,高い,中程度,142%,100%,高い,,,非常に高い,,https://www2.jica.go.jp/ja/evaluation/pdf/2013_0600957_4_f.pdf,技協,行政一般,ミンダナオ・ダバオ地域地方行政・地域社会強化プロジェクト,ミンダナ,1
404,404,404.0,404.0,1,フィリピン,2013,フィリピン事務所,,190百万円,294百万円,,190000000,294000000,,2007年10月,2010年10月,2007年10月,2010年10月,36,36,高い,,中程度,中程度,中程度,155%,100%,中程度,,,一部課題がある,,https://www2.jica.go.jp/ja/evaluation/pdf/2013_0600958_4_f.pdf,技協,総合地域開発計画,イロイロ州地域活性化・LGUクラスター開発プロジェクト,イロイロ,1
2386,2386,2386.0,2386.0,1,フィリピン,2013,オクタヴィアジャパン株式会社,稲澤健一,"1,216百万円","1,129百万円",74百万円,1216000000,1129000000,74000000,2007年7月,2010年2月,2007年7月,2011年4月,32,46,['高い'],,['高い'],['高い'],['中程度'],93%,,['高い'],,,非常に高い,,https://www2.jica.go.jp/ja/evaluation/pdf/2013_0805300_4_f.pdf,無償,河川・砂防,パンパンガ河及びアグノ河洪水予警報システム改善計画,パンパン,1
2385,2385,2385.0,2385.0,1,フィリピン,2013,フィリピン事務所,,610百万円,530百万円,,610000000,530000000,,2009年5月20日,,2009年5月20日,2010年11月15日,,18,高い,,高い,高い,高い,87%,63%,高い,,,非常に高い,,https://www2.jica.go.jp/ja/evaluation/pdf/2013_0960040_4_f.pdf,無償,運輸交通一般,農地改革地域橋梁整備計画,農地改革,1
1749,1749,1749.0,1749.0,1,フィリピン,2013,オクタヴィアジャパン株式会社,稲澤健一,458百万円,338百万円,,458000000,338000000,,1998年9月,1999年10月,1998年9月,2001年12月,14,40,高い,,高い,高い,低い,123%,216%,高い,,,高い,,https://www2.jica.go.jp/ja/evaluation/pdf/2013_PH-P192_4_f.pdf,有償,河川・砂防,イロイロ洪水制御事業（I）,イロイロ,4
1750,1750,1750.0,1750.0,2,フィリピン,2013,オクタヴィアジャパン株式会社,稲澤健一,"6,790百万円","6,728百万円",,6790000000,6728000000,,2002年3月,2007年3月,2002年3月,2012年4月,61,122,高い,,高い,高い,低い,123%,216%,高い,,,高い,,https://www2.jica.go.jp/ja/evaluation/pdf/2013_PH-P192_4_f.pdf,有償,河川・砂防,イロイロ洪水制御事業（I）,イロイロ,3
1735,1735,1735.0,1735.0,V,フィリピン,2013,オクタヴィアジャパン株式会社,稲澤健一,"11,059百万円","10,950百万円","7,243百万円",11059000000,10950000000,7243000000,2001年5月,2007年1月,2001年5月,2014年3月,69,155,高い,,高い,高い,低い,104%,224%,中程度,,,一部課題がある,土木工事の一部および用地取得が事後評価時点で継続中であるため、一部未完。,https://www2.jica.go.jp/ja/evaluation/pdf/2013_PH-P217_4_f.pdf,有償,道路,幹線道路網整備事業（V）,幹線道路,1
1732,1732,1732.0,1732.0,1,フィリピン,2013,三菱 UFJリサーチ&コンサルティング株式会社,島村真澄,"8,273百万円","10,410百万円","5,870百万円",8273000000,10410000000,5870000000,2001年3月,2006年10月,2001年5月,2013年12月,68,152,高い,,高い,高い,低い,126%,224%,中程度,,,一部課題がある,,https://www2.jica.go.jp/ja/evaluation/pdf/2013_PH-P220_4_f.pdf,有償,道路,地方道路網整備事業（III）,地方道路,1
1725,1725,1725.0,1725.0,1,フィリピン,2013,オクタヴィアジャパン株式会社,稲澤健一,660百万円,614百万円,276百万円,660000000,614000000,276000000,1998年9月,1999年10月,1998年9月,2001年12月,14,40,高い,,高い,高い,低い,123%,216%,高い,,,高い,,https://www2.jica.go.jp/ja/evaluation/pdf/2013_PH-P230_4_f.pdf,有償,河川・砂防,イロイロ洪水制御事業（II）,イロイロ,2
1726,1726,1726.0,1726.0,2,フィリピン,2013,オクタヴィアジャパン株式会社,稲澤健一,9788百万円,12227百万円,5497百万円,9788000000,12227000000,5497000000,2002年3月,2007年3月,2002年3月,2012年4月,61,122,高い,,高い,高い,低い,123%,216%,高い,,,高い,,https://www2.jica.go.jp/ja/evaluation/pdf/2013_PH-P230_4_f.pdf,有償,河川・砂防,イロイロ洪水制御事業（II）,イロイロ,1
1733,1733,1733.0,1733.0,1,フィリピン,2013,三菱 UFJリサーチ&コンサルティング株式会社,島村真澄,"21,750百万円","23,122百万円","15,899百万円",21750000000,23122000000,15899000000,2002年3月,2007年7月,2002年3月,2014年12月,65,148,高い,,高い,高い,低い,106.3%,228%,中程度,,,一部課題がある,評価時点で未完,https://www2.jica.go.jp/ja/evaluation/pdf/2013_PH-P231_4_f.pdf,有償,道路,地方開発緊急橋梁建設事業,地方開発,1
1722,1722,1722.0,1722.0,1,フィリピン,2013,三菱UFJリサーチ&コンサルティング株式会社,渡邉恵子,"4,956百万円","4,996百万円","1,831百万円",4956000000,4996000000,1831000000,2003年12月,2010年6月,2003年12月,2011年12月,79,97,高い,,高い,高い,中程度,101%,123%,中程度,,,高い,,https://www2.jica.go.jp/ja/evaluation/pdf/2013_PH-P237_4_f.pdf,有償,道路,中部ミンダナオ道路整備事業,中部ミン,1
414,414,414.0,414.0,1,フィリピン,2014,株式会社日本経済研究所,西川圭輔,約700百万円,"1,028百万円",6.3百万ペソ,700000000,1028000000,,2005年7月,2010年6月,2005年8月,2012年3月,60,80,高い,,高い,高い,中程度,146%,133%,中程度,,,高い,,https://www2.jica.go.jp/ja/evaluation/pdf/2014_0600871_4_f.pdf,技協,上水道,地方水道改善プロジェクト,地方水道,1
401,401,401.0,401.0,1,フィリピン,2014,フィリピン事務所,,300百万円,216百万円,,300000000,216000000,,2009年4月,2012年3月,2009年4月,2012年3月,36,36,高い,,高い,高い,高い,72%,100%,中程度,,,非常に高い,,https://www2.jica.go.jp/ja/evaluation/pdf/2014_0800067_4_f.pdf,技協,観光一般,地方自治体の観光統計に係る能力強化プロジェクト,地方自治,1
2383,2383,2383.0,2383.0,1,フィリピン,2014,株式会社日本経済研究所,"西川圭輔, 伊藤友見","1,018百万円",872百万円,3.9百万円,1018000000,872000000,3900000,2009年6月,2011年8月,2009年6月,2011年7月,25.5,25.1,高い,,高い,高い,高い,86%,98%,高い,,,非常に高い,,https://www2.jica.go.jp/ja/evaluation/pdf/2014_0960400_4_f.pdf,無償,河川・砂防,カミギン島防災復旧計画,カミギン,1
2382,2382,2382.0,2382.0,1,フィリピン,2014,株式会社日本経済研究所,伊藤友見,"1,256百万円","1,199百万円",171百万円,1256000000,1199000000,171000000,2010年3月,2011年11月,2010年3月,2011年12月,21,21,高い,,高い,高い,高い,95.5%,100%,中程度,,,非常に高い,,https://www2.jica.go.jp/ja/evaluation/pdf/2014_0961780_4_f.pdf,無償,保健・医療,オーロラ記念病院改善計画,オーロラ,1
1764,1764,1764.0,1764.0,1,フィリピン,2014,三州技術コンサルタント株式会社,岡村恭子,"6,489百万円","7,984百万円","3,422百万円",6489000000,7984000000,3422000000,1990年2月,1996年5月,1990年2月,2014年12月,76,299,中程度,,中程度,中程度,低い,123%,393%,中程度,,,低い,,https://www2.jica.go.jp/ja/evaluation/pdf/2014_PH-P112_4_f.pdf,有償,農業土木,マリトボグ－マリダガオ灌漑事業,マリトボ,1
1744,1744,1744.0,1744.0,1,フィリピン,2014,三州技術コンサルタント株式会社,芹澤明美,"2,088百万円",963百万円,444百万円,2088000000,963000000,444000000,1999年12月,2004年11月,1999年12月,2015年4月,60,185,中程度,,中程度,中程度,低い,270%,308%,中程度,,,低い,一部未完,https://www2.jica.go.jp/ja/evaluation/pdf/2014_PH-P201_4_f.pdf,有償,上水道,地方上水道整備事業（V）,地方上水,1
1737,1737,1737.0,1737.0,1,フィリピン,2014,三州技術コンサルタント株式会社,芹澤明美,"11,786百万円","17,858百万円","9,072百万円",11786000000,17858000000,9072000000,2000年4月,2006年12月,2000年4月,2012年1月,81,142,高い,,高い,高い,低い,152%,175%,高い,,,高い,,https://www2.jica.go.jp/ja/evaluation/pdf/2014_PH-P212_4_f.pdf,有償,河川・砂防,カマナバ地区洪水制御・排水システム改良事業,カマナバ,1
1738,1738,1738.0,1738.0,1,フィリピン,2014,三州技術コンサルタント株式会社,川畑安弘,"19,353百万円","18,172百万円","2,489百万円",19353000000,18172000000,2489000000,2000年8月,2007年8月,2000年8月,2009年12月,85,113,中程度,,低い,低い,中程度,94%,133%,中程度,,,低い,,https://www2.jica.go.jp/ja/evaluation/pdf/2014_PH-P215_4_f.pdf,有償,港湾,スービック港開発事業,スービッ,1
1721,1721,1721.0,1721.0,1,フィリピン,2014,三州技術コンサルタント株式会社,川畑安弘,"3,022百万円","2,836百万円",471百万円,3022000000,2836000000,471000000,2003年12月,2007年12月,2003年12月,2012年12月,49,108,高い,,中程度,中程度,中程度,94%,220%,中程度,,,一部課題がある,,https://www2.jica.go.jp/ja/evaluation/pdf/2014_PH-P235_4_f.pdf,有償,総合地域開発計画,ムスリム・ミンダナオ自治地域平和・開発社会基金事業,ムスリム,1
423,423,423.0,423.0,1,フィリピン,2015,Value Frontier 株式会社,石森康一郎,600百万円,801百万円,"29,499千ペソ",600000000,801000000,,2002年7月,2007年6月,2002年7月,2006年6月,60,48,高い,,高い,高い,高い,134%,,中程度,,,非常に高い,,https://www2.jica.go.jp/ja/evaluation/pdf/2015_0600798_4_f.pdf,技協,海運・船舶,海上保安人材育成プロジェクト,海上保安,2
424,424,424.0,424.0,2,フィリピン,2015,Value Frontier 株式会社,石森康一郎,360百万円,280百万円,不明,360000000,280000000,,2008年1月,2012年12月,2008年1月7日,2013年1月6日,60,60,高い,,高い,高い,高い,,100%,中程度,,,非常に高い,,https://www2.jica.go.jp/ja/evaluation/pdf/2015_0600798_4_f.pdf,技協,海運・船舶,海上保安人材育成プロジェクト,海上保安,1
408,408,408.0,408.0,1,フィリピン,2015,フィリピン事務所,,187百万円,230百万円,,187000000,230000000,,2008年1月,2011年1月,2008年1月,2011年1月,37,37,高い,,高い,高い,中程度,123%,100%,中程度,,,高い,,https://www2.jica.go.jp/ja/evaluation/pdf/2015_0600956_4_f.pdf,技協,環境問題,ミンダナオ北部貧困削減（バランガイガバナンス）プロジェクト,ミンダナ,1
400,400,400.0,400.0,1,フィリピン,2015,フィリピン事務所,,280百万円,370百万円,,280000000,370000000,,,,2009年10月,2012年11月,37,38,高い,,中程度,中程度,中程度,132%,103%,高い,,,高い,,https://www2.jica.go.jp/ja/evaluation/pdf/2015_0701090_4_f.pdf,技協,河川・砂防,ダム放流に関する洪水予警報能力強化プロジェクト,ダム放流,1
403,403,403.0,403.0,1,フィリピン,2015,フィリピン事務所,,370百万円,606百万円,,370000000,606000000,,2008年5月,2011年3月,2008年5月,2013年3月,35,59,高い,,中程度,中程度,中程度,163%,169%,中程度,,,一部課題がある,,https://www2.jica.go.jp/ja/evaluation/pdf/2015_0702319_4_f.pdf,技協,行政一般,ムスリム・ミンダナオ自治区人材育成プロジェクト,ムスリム,1
405,405,405.0,405.0,1,フィリピン,2015,Value Frontier 株式会社,石森康一郎,600百万円,801百万円,"29,499千ペソ",600000000,801000000,,2002年7月,2006年6月,2002年7月,2006年6月,48,48,高い,,高い,高い,高い,134%,100%,中程度,,,非常に高い,,https://www2.jica.go.jp/ja/evaluation/pdf/2015_0703219_4_f.pdf,技協,行政一般,フィリピン海上保安教育・人材育成管理システム開発プロジェクト,フィリピ,2
406,406,406.0,406.0,2,フィリピン,2015,Value Frontier 株式会社,石森康一郎,360百万円,280百万円,不明,360000000,280000000,,2008年1月,2012年12月,2008年1月7日,2013年1月6日,60,60,高い,,高い,高い,高い,78%,100%,中程度,,,非常に高い,,https://www2.jica.go.jp/ja/evaluation/pdf/2015_0703219_4_f.pdf,技協,行政一般,フィリピン海上保安教育・人材育成管理システム開発プロジェクト,フィリピ,1
1752,1752,1752.0,1752.0,1,フィリピン,2015,オクタヴィアジャパン株式会社,稲澤健一,"5,770百万円","3,650百万円","3,293百万円",5770000000,3650000000,3293000000,1998年9月,2005年6月,1998年9月,2010年6月,82,142,高い,,中程度,中程度,中程度,66%,173%,高い,,,高い,,https://www2.jica.go.jp/ja/evaluation/pdf/2015_PH-P191_4_f.pdf,有償,社会基盤一般,メトロイリガン産業拠点インフラ整備事業,メトロイ,1
1708,1708,1708.0,1708.0,1,フィリピン,2015,オクタヴィアジャパン株式会社,稲澤健一,"12,086百万円","13,428百万円","5,294百万円",12086000000,13428000000,5294000000,2010年5月,2011年12月,2010年5月,2015年11月,20,67,高い,,高い,高い,低い,111%,335%,高い,,,高い,,https://www2.jica.go.jp/ja/evaluation/pdf/2015_PH-P246_4_f.pdf,有償,道路、河川・砂防、災害援助,台風オンドイ・ペペン後緊急インフラ復旧事業,台風オン,1
396,396,396.0,396.0,1,フィリピン,2016,オクタヴィアジャパン株式会社,伊藤解子,13億円,"11億4,300万円",,1300000000,1143000000,,2010年3月,2012年3月,2010年3月,2013年3月,25,37,高い,,低い,低い,中程度,88%,148%,中程度,,,低い,未完,https://www2.jica.go.jp/ja/evaluation/pdf/2016_0905172_4_f.pdf,技協,測量・地図,ミンダナオの平和と開発のための地形図作成プロジェクト,ミンダナ,1
2384,2384,2384.0,2384.0,1,フィリピン,2016,オクタヴィアジャパン株式会社,稲澤健一,"3,961百万円","3,333百万円",164百万円,3961000000,3333000000,164000000,2009年5月,2013年7月,2009年5月,2013年11月,51,55,高い,,高い,高い,中程度,84%,108%,中程度,,,高い,,https://www2.jica.go.jp/ja/evaluation/pdf/2016_0960630_4_f.pdf,無償,気象・地震,気象レーダーシステム整備計画,気象レー,1
